date,home_team,away_team,tournament,result,home_elo,away_elo,elo_diff,home_legacy,away_legacy,legacy_diff,home_win_rate,away_win_rate,home_gd_pg,away_gd_pg,home_federation_AFC,home_federation_CAF,home_federation_CONCACAF,home_federation_CONMEBOL,home_federation_OFC,home_federation_OTHER,home_federation_UEFA,away_federation_AFC,away_federation_CAF,away_federation_CONCACAF,away_federation_CONMEBOL,away_federation_OFC,away_federation_OTHER,away_federation_UEFA
2010-01-17,Vietnam,China PR,AFC Asian Cup qualification,0,1508.2704910925308,1620.3713802198151,-112.10088912728429,1441.042625738913,1639.6928593402797,-198.6502336013666,0.4,0.5,-0.1,1.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-01-18,Angola,Algeria,African Cup of Nations,1,1537.4265922320312,1641.063394200808,-103.63680196877681,1552.4771834132591,1614.9768318995148,-62.49964848625564,0.2,0.7,0.0,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-18,Mali,Malawi,African Cup of Nations,2,1589.1965737803357,1486.6594441180366,102.5371296622991,1549.2564175328655,1471.3635703518614,77.89284718100407,0.3,0.4,0.2,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2010-01-19,Burkina Faso,Ghana,African Cup of Nations,0,1541.8212484594412,1652.1779745906135,-110.35672613117231,1503.2401766413996,1612.1393775723213,-108.89920093092178,0.5,0.3,-0.2,0.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-20,Nigeria,Mozambique,African Cup of Nations,2,1746.5786110292647,1505.5025240984164,241.0760869308483,1700.2533002411767,1454.515768227204,245.73753201397267,0.5,0.4,0.5,-0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-20,Yemen,Bahrain,AFC Asian Cup qualification,2,1424.739649354187,1703.4772239572558,-278.7375746030689,1363.5638705939566,1560.3755895947243,-196.81171900076765,0.4,0.6,-0.3,1.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2010-01-20,Egypt,Benin,African Cup of Nations,2,1765.0292407212164,1513.0030106536988,252.02623006751764,1680.876277306365,1381.8280505330958,299.0482267732691,0.8,0.4,1.6,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-21,Cameroon,Tunisia,African Cup of Nations,1,1738.999049457442,1645.8805053109445,93.11854414649747,1677.5216694546418,1665.3585125694715,12.163156885170338,0.7,0.2,1.1,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-21,Gabon,Zambia,African Cup of Nations,0,1631.9583110690012,1563.2588033060972,68.69950776290398,1542.4387157629203,1604.0248954223102,-61.58617965938993,0.5,0.5,0.5,1.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-24,Angola,Ghana,African Cup of Nations,0,1542.062553603169,1663.2601446888098,-121.19759108564085,1552.3992010755326,1612.312704832141,-59.91350375660841,0.2,0.3,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-24,Ivory Coast,Algeria,African Cup of Nations,0,1772.365225520029,1636.4274328296704,135.93779269035872,1686.296555948043,1615.109250997491,71.18730495055206,0.6,0.7,1.4,0.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-25,Zambia,Nigeria,African Cup of Nations,1,1582.3819351355862,1752.9711843808866,-170.58924924530038,1603.8921068486418,1700.4687668029817,-96.5766599543399,0.6,0.6,1.4,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-25,Egypt,Cameroon,African Cup of Nations,2,1771.1054523583755,1734.8105947129795,36.29485764539595,1681.1451366143997,1677.7778252046533,3.367311409746435,0.8,0.7,1.7,1.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-28,Algeria,Egypt,African Cup of Nations,0,1658.386573875355,1785.4400660766812,-127.05349220132621,1615.216918582502,1681.1708905524551,-65.95397196995305,0.7,0.8,0.4,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-28,Ghana,Nigeria,African Cup of Nations,2,1673.8946775085276,1745.6910875056824,-71.7964099971548,1612.532305866006,1701.0176981181598,-88.48539225215382,0.3,0.6,-0.2,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010-01-30,Nigeria,Algeria,African Cup of Nations,2,1726.4310138767903,1647.9900216930312,78.44099218375914,1701.449365831975,1615.4338515236723,86.01551430830273,0.5,0.6,0.6,-0.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
